model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,brand
2016,dodge_grand_caravan,3,6,gas,62711,automatic,van,black,0,dodge
2017,chevrolet_silverado_1500,3,8,gas,8354,automatic,truck,black,1,chevrolet
2011,jeep_wrangler,3,6,gas,118371,automatic,SUV,orange,1,jeep
2017,ford_mustang_gt_coupe_2d,2,8,gas,42957,other,coupe,unknown,0,ford
2011,ford_expedition,2,8,gas,124775,automatic,SUV,custom,1,ford
2010,ford_taurus,3,6,gas,155743,automatic,sedan,unknown,0,ford
2016,ford_mustang_gt_coupe_2d,2,8,gas,16890,other,coupe,white,0,ford
2014,chevrolet_camaro_lt_coupe_2d,2,6,gas,27915,other,coupe,red,0,chevrolet
2017,ford_mustang_gt_coupe_2d,2,8,gas,26192,other,coupe,black,0,ford
2012,chevrolet_silverado_1500,3,8,gas,24390,automatic,truck,white,0,chevrolet
2019,nissan_frontier_crew_cab_sv,2,6,gas,20168,other,pickup,grey,1,nissan
2018,chevrolet_silverado_1500_crew,2,8,gas,22838,automatic,pickup,white,1,chevrolet
1999,acura_tl,2,6,gas,180000,automatic,sedan,black,0,acura
2012,ford_mustang_gt_coupe_2d,2,8,gas,96562,other,coupe,red,0,ford
2017,chevrolet_camaro_lt_coupe_2d,2,6,gas,24510,other,coupe,red,0,chevrolet
2009,toyota_camry,2,6,gas,150000,automatic,sedan,silver,0,toyota
2009,ford_f350_super_duty,2,8,diesel,163000,automatic,truck,unknown,1,ford
2001,ford_ranger,2,6,gas,102000,automatic,truck,brown,0,ford
2012,kia_soul,3,4,gas,106674,automatic,wagon,white,0,kia
2007,gmc_sierra,3,8,gas,228409,automatic,truck,white,0,gmc
2008,toyota_4runner,3,6,gas,207348,automatic,SUV,unknown,1,toyota
2005,chevrolet_impala,2,6,gas,147667,automatic,sedan,red,0,chevrolet
2008,chevrolet_silverado_1500,2,8,gas,182225,automatic,truck,blue,1,chevrolet
2012,ford_mustang_gt_coupe_2d,2,8,gas,96562,other,coupe,red,0,ford
2017,chevrolet_camaro_lt_coupe_2d,2,6,gas,24510,other,coupe,red,0,chevrolet
2006,ford_ranger,2,6,gas,148600,automatic,truck,silver,1,ford
2011,subaru_outback,3,6,gas,135445,automatic,SUV,unknown,1,subaru
2005,ram_1500,2,8,gas,158000,automatic,truck,grey,1,ram
2016,chevrolet_silverado_1500_crew,2,8,gas,15070,automatic,pickup,black,1,chevrolet
2018,nissan_frontier_crew_cab_sv,2,6,gas,11034,other,pickup,blue,1,nissan
2006,chevrolet_silverado_1500,2,8,gas,93726,automatic,truck,white,1,chevrolet
2015,honda_cr-v,3,4,gas,78327,other,SUV,black,1,honda
1997,ford_mustang,2,8,gas,185000,manual,coupe,white,0,ford
2003,jeep_wrangler,3,6,gas,97211,automatic,SUV,custom,1,jeep
2010,jeep_wrangler,3,6,gas,85490,other,SUV,red,1,jeep
2009,honda_cr-v,3,4,gas,186000,automatic,SUV,grey,1,honda
2009,hyundai_santa_fe,2,6,gas,98000,manual,SUV,unknown,0,hyundai
2004,honda_accord,2,6,gas,204000,automatic,coupe,blue,0,honda
2009,toyota_tacoma,3,6,gas,221000,automatic,truck,black,1,toyota
2011,ford_expedition,3,8,gas,130390,automatic,SUV,unknown,1,ford
2018,honda_accord,4,4,gas,15000,manual,sedan,unknown,0,honda
2009,subaru_impreza,3,4,gas,137882,automatic,hatchback,silver,1,subaru
2005,ford_f-150,2,8,gas,225000,automatic,pickup,white,1,ford
2009,ford_ranger,2,4,gas,142000,automatic,pickup,white,0,ford
2013,ford_escape,3,4,gas,122964,automatic,wagon,unknown,1,ford
2012,nissan_versa,3,4,gas,76737,automatic,sedan,silver,0,nissan
2014,ford_escape,3,4,gas,86000,automatic,wagon,unknown,1,ford
2006,ford_f-150,3,8,gas,181000,automatic,truck,silver,1,ford
2008,gmc_sierra_2500hd,3,8,diesel,101959,automatic,truck,white,1,gmc
2009,nissan_rogue,3,4,gas,123360,automatic,wagon,blue,1,nissan
2012,nissan_rogue,3,4,gas,93496,automatic,wagon,black,0,nissan
2017,ford_escape,3,4,gas,19764,automatic,SUV,black,1,ford
2012,ford_f-350_sd,3,8,diesel,129000,automatic,truck,black,1,ford
2002,honda_civic_lx,2,4,gas,216875,automatic,coupe,red,0,honda
2015,bmw_x5,3,6,gas,69686,automatic,SUV,white,1,bmw
2013,ford_f-150,3,6,gas,79657,automatic,truck,silver,1,ford
2016,ford_explorer,3,6,gas,50123,automatic,SUV,white,1,ford
2010,dodge_charger,2,8,gas,156000,automatic,sedan,white,0,dodge
2015,gmc_sierra_1500,3,8,gas,85190,automatic,truck,custom,1,gmc
2011,toyota_tacoma,3,6,gas,145671,automatic,truck,black,1,toyota
2015,gmc_sierra_1500,3,8,gas,82056,automatic,truck,black,1,gmc
2006,honda_odyssey,3,6,gas,146331,automatic,van,red,0,honda
2005,toyota_camry_le,3,4,gas,105000,automatic,sedan,silver,0,toyota
2012,chevrolet_traverse,2,6,gas,157000,automatic,SUV,blue,1,chevrolet
2009,cadillac_escalade,3,8,gas,159000,automatic,SUV,unknown,1,cadillac
2007,honda_odyssey,3,6,gas,205000,automatic,mini-van,brown,0,honda
2003,volkswagen_jetta,2,4,gas,178950,manual,sedan,unknown,0,volkswagen
2004,toyota_corolla,4,4,gas,136000,automatic,sedan,blue,0,toyota
2006,ford_escape,3,6,gas,146331,automatic,SUV,white,0,ford
2015,toyota_camry,3,4,gas,28150,automatic,sedan,black,1,toyota
2006,honda_civic_lx,2,4,gas,200,manual,sedan,black,0,honda
2008,jeep_grand_cherokee,3,6,gas,104613,automatic,SUV,silver,1,jeep
2013,ford_f-250_sd,2,8,gas,128415,automatic,truck,green,1,ford
2013,chrysler_town_&_country,3,6,gas,81999,automatic,van,unknown,0,chrysler
2005,honda_accord,4,6,gas,45429,automatic,sedan,grey,0,honda
2015,toyota_tacoma,3,4,gas,111048,automatic,truck,white,0,toyota
2014,honda_civic,3,4,gas,85452,automatic,sedan,grey,0,honda
2011,hyundai_sonata,3,4,gas,117371,automatic,sedan,grey,1,hyundai
2013,volkswagen_passat,3,5,gas,119453,automatic,sedan,red,0,volkswagen
2012,volkswagen_jetta,3,5,gas,104310,automatic,sedan,white,0,volkswagen
2014,chevrolet_cruze,3,4,gas,120052,automatic,sedan,blue,0,chevrolet
2015,toyota_tacoma,4,6,gas,49900,automatic,pickup,white,1,toyota
2010,toyota_prius,3,4,gas,99630,automatic,hatchback,white,0,toyota
2010,toyota_prius,3,4,gas,74138,automatic,hatchback,white,0,toyota
2010,honda_accord,3,4,gas,90880,automatic,sedan,grey,0,honda
2004,ford_f-150,2,8,gas,121000,automatic,truck,unknown,1,ford
2010,jeep_liberty,3,6,gas,105771,automatic,SUV,brown,1,jeep
2007,nissan_altima,3,4,gas,131020,automatic,sedan,grey,0,nissan
2009,ford_f-250,2,8,gas,113000,automatic,pickup,white,1,ford
2013,ford_f-350_sd,2,8,diesel,106375,automatic,truck,brown,1,ford
2001,jeep_grand_cherokee,2,6,gas,185000,automatic,SUV,black,1,jeep
2017,nissan_altima,3,4,gas,51153,automatic,sedan,silver,1,nissan
2014,chevrolet_camaro,3,6,gas,50468,automatic,coupe,yellow,0,chevrolet
2002,chevrolet_silverado_1500,2,8,gas,105000,automatic,pickup,silver,1,chevrolet
2009,nissan_rogue,2,4,gas,174902,automatic,SUV,black,0,nissan
2014,ford_f150,2,6,gas,87377,automatic,pickup,unknown,1,ford
2013,ram_1500,3,8,gas,97321,automatic,pickup,red,1,ram
2015,chevrolet_camaro,3,6,gas,26881,automatic,coupe,red,0,chevrolet
2016,nissan_altima,3,4,gas,47833,automatic,sedan,silver,0,nissan
2007,jeep_grand_cherokee_laredo,1,6,gas,131800,automatic,SUV,grey,1,jeep
2012,nissan_altima,2,4,gas,186576,automatic,sedan,black,0,nissan
2011,subaru_forester,2,4,gas,112000,automatic,SUV,blue,1,subaru
2018,chevrolet_camaro_lt_coupe_2d,2,6,gas,7136,other,coupe,black,0,chevrolet
1981,chevrolet_corvette,1,8,gas,75000,automatic,coupe,blue,0,chevrolet
2014,kia_sorento,2,4,gas,100100,automatic,SUV,silver,1,kia
2013,kia_sorento,3,4,gas,85415,automatic,SUV,silver,0,kia
2015,ram_1500,2,8,gas,86115,automatic,truck,unknown,1,ram
2012,buick_enclave,2,6,gas,116510,automatic,SUV,brown,0,buick
2015,toyota_4runner,2,6,gas,84000,automatic,SUV,silver,0,toyota
2018,ford_escape,2,4,gas,21000,automatic,SUV,black,1,ford
2008,gmc_sierra_2500hd,2,8,gas,147398,automatic,truck,grey,1,gmc
2009,chevrolet_silverado_1500,2,8,gas,114587,automatic,truck,grey,1,chevrolet
2005,gmc_sierra_2500hd,2,8,gas,95914,automatic,truck,custom,1,gmc
2011,toyota_camry_le,3,4,gas,173000,automatic,sedan,white,0,toyota
2013,ford_fusion,2,4,gas,106375,automatic,sedan,silver,0,ford
2001,ford_f150,1,8,gas,296000,automatic,truck,black,1,ford
2012,ford_f-350_sd,3,8,diesel,129000,automatic,truck,black,1,ford
2016,ford_escape,3,4,gas,19764,automatic,SUV,unknown,1,ford
2015,bmw_x5,3,6,gas,69686,automatic,SUV,white,1,bmw
2015,gmc_sierra_1500,3,8,gas,85190,automatic,truck,unknown,1,gmc
2013,ford_f-150,3,6,gas,79657,automatic,truck,silver,1,ford
2011,toyota_tacoma,3,6,gas,120000,automatic,truck,unknown,1,toyota
2015,gmc_sierra_1500,3,8,gas,82056,automatic,truck,black,1,gmc
2011,gmc_sierra_2500hd,3,8,gas,121047,automatic,pickup,unknown,1,gmc
2013,toyota_prius,3,4,hybrid,101200,automatic,hatchback,silver,0,toyota
2007,jeep_wrangler,3,6,gas,111921,automatic,SUV,unknown,1,jeep
2012,nissan_altima,3,4,gas,99000,automatic,sedan,black,0,nissan
2007,toyota_rav4,4,6,gas,116100,automatic,SUV,blue,0,toyota
2013,chrysler_200,2,4,gas,106375,automatic,sedan,black,0,chrysler
2012,toyota_tacoma,3,4,gas,132000,manual,pickup,red,1,toyota
2004,toyota_tundra,2,8,gas,224000,automatic,truck,unknown,1,toyota
2004,toyota_camry,1,4,gas,155000,automatic,sedan,white,0,toyota
2011,ram_3500,2,6,diesel,148128,automatic,truck,unknown,1,ram
2012,ram_2500,2,6,diesel,146875,automatic,truck,silver,1,ram
2012,ram_3500,2,6,diesel,126201,automatic,truck,silver,1,ram
2010,nissan_frontier,3,6,gas,160266,automatic,truck,red,1,nissan
2016,honda_cr-v,3,4,gas,32000,automatic,SUV,grey,1,honda
2015,gmc_sierra,3,8,gas,43000,automatic,truck,white,1,gmc
2008,chrysler_town_&_country,3,6,gas,129448,automatic,mini-van,white,0,chrysler
2016,honda_accord,3,4,gas,30300,automatic,sedan,black,0,honda
2016,subaru_outback,3,4,gas,106700,automatic,wagon,black,1,subaru
2003,toyota_rav4,3,4,gas,146000,automatic,SUV,silver,1,toyota
2016,toyota_rav4,3,4,gas,56000,automatic,SUV,black,0,toyota
2016,honda_civic,3,4,gas,35000,automatic,sedan,white,0,honda
2014,ford_f-150,2,8,gas,104906,automatic,truck,blue,0,ford
2017,chevrolet_equinox,2,4,gas,51276,automatic,SUV,silver,0,chevrolet
2013,ford_f-150,2,6,gas,52520,automatic,truck,white,1,ford
2013,ford_focus,2,4,gas,127230,automatic,sedan,red,0,ford
2010,toyota_corolla,2,4,gas,153510,automatic,sedan,white,0,toyota
2003,chevrolet_silverado_2500hd,2,8,gas,238986,automatic,truck,white,1,chevrolet
2007,honda_accord,2,4,gas,153000,automatic,sedan,unknown,0,honda
2017,nissan_versa,2,4,gas,31501,automatic,sedan,white,0,nissan
2016,chevrolet_silverado_1500,3,8,gas,32000,automatic,truck,silver,1,chevrolet
2016,ford_explorer,3,6,gas,52000,automatic,SUV,blue,0,ford
2017,nissan_rogue,3,4,gas,25600,automatic,SUV,black,0,nissan
2016,gmc_yukon,2,8,gas,55189,automatic,SUV,black,1,gmc
2016,honda_civic,3,4,gas,27000,automatic,sedan,white,0,honda
2012,gmc_sierra_1500,3,8,gas,143000,automatic,truck,silver,0,gmc
2011,gmc_sierra_2500hd,2,8,gas,226000,automatic,truck,white,1,gmc
2015,nissan_altima,3,4,gas,84000,automatic,sedan,red,0,nissan
2012,dodge_grand_caravan,2,6,gas,119156,automatic,mini-van,unknown,0,dodge
2016,nissan_rogue,3,4,gas,58000,automatic,SUV,blue,0,nissan
1999,toyota_camry_le,0,4,gas,216348,automatic,sedan,white,0,toyota
2016,honda_civic,3,4,gas,46000,automatic,sedan,black,0,honda
2016,honda_civic,3,4,gas,18000,automatic,sedan,grey,0,honda
2017,ford_explorer,3,6,gas,25000,automatic,SUV,grey,1,ford
2005,ford_f250_super_duty,2,8,diesel,119358,automatic,truck,blue,0,ford
2011,chevrolet_silverado_1500,3,8,gas,120000,automatic,truck,white,0,chevrolet
2015,jeep_wrangler_unlimited,3,6,gas,13365,automatic,SUV,white,1,jeep
2011,ford_f-150,3,8,gas,97000,automatic,truck,grey,1,ford
1995,ford_f250_super_duty,2,8,gas,149963,automatic,truck,orange,0,ford
2002,honda_accord,1,6,gas,211000,automatic,sedan,unknown,0,honda
2000,toyota_4runner,3,6,gas,200116,automatic,SUV,unknown,1,toyota
1995,chevrolet_corvette,2,8,gas,127807,automatic,coupe,unknown,0,chevrolet
2009,jeep_liberty,2,6,gas,171000,automatic,SUV,black,1,jeep
2009,ford_f-250_super_duty,3,8,diesel,130000,automatic,truck,black,1,ford
2015,nissan_altima,3,4,gas,80148,automatic,sedan,unknown,0,nissan
2004,toyota_corolla,4,4,gas,226980,automatic,sedan,unknown,0,toyota
2007,ram_2500,2,8,gas,229000,automatic,pickup,white,1,ram
2004,chevrolet_corvette,2,8,gas,85104,automatic,convertible,blue,0,chevrolet
2004,honda_accord,3,4,gas,176722,automatic,sedan,blue,0,honda
2017,nissan_sentra,3,4,gas,12000,automatic,sedan,grey,0,nissan
2007,chrysler_300,3,6,gas,122000,automatic,sedan,grey,0,chrysler
2005,subaru_outback,3,4,gas,148000,automatic,wagon,blue,0,subaru
2006,ford_f150,3,8,gas,146331,automatic,truck,white,0,ford
2009,chevrolet_suburban,3,8,gas,157976,automatic,SUV,white,1,chevrolet
2003,gmc_yukon,2,8,gas,170000,automatic,SUV,grey,1,gmc
2009,gmc_sierra_1500,3,8,gas,150000,automatic,truck,white,0,gmc
2005,honda_pilot,3,6,gas,167000,automatic,SUV,red,1,honda
1996,chevrolet_corvette,3,8,gas,30469,manual,convertible,unknown,0,chevrolet
2012,chevrolet_tahoe,2,8,gas,129516,automatic,SUV,unknown,1,chevrolet
2003,ford_focus,2,4,gas,170000,automatic,sedan,red,0,ford
2004,volkswagen_jetta,2,4,gas,149000,manual,sedan,silver,0,volkswagen
1999,ford_ranger,3,6,gas,191135,automatic,truck,yellow,1,ford
2002,bmw_x5,3,6,gas,153000,automatic,SUV,white,1,bmw
2006,acura_tl,3,6,gas,169269,automatic,sedan,white,0,acura
2012,ford_mustang,3,6,gas,126000,automatic,coupe,black,0,ford
2009,gmc_yukon,3,8,gas,0,automatic,SUV,white,1,gmc
2017,chevrolet_silverado,4,8,gas,53000,automatic,truck,white,1,chevrolet
2015,nissan_rogue,3,4,gas,78327,automatic,SUV,grey,0,nissan
2015,chevrolet_silverado,2,8,gas,150000,automatic,truck,white,1,chevrolet
2002,ford_escape,2,6,gas,98000,automatic,SUV,silver,1,ford
1975,chevrolet_corvette,3,8,gas,75000,manual,coupe,unknown,0,chevrolet
1975,chevrolet_corvette,3,8,gas,18000,automatic,coupe,orange,0,chevrolet
2017,subaru_impreza,4,4,gas,25000,automatic,wagon,grey,1,subaru
2014,ford_fusion,3,4,gas,40062,automatic,sedan,white,1,ford
2013,nissan_altima,2,4,gas,57075,automatic,sedan,white,0,nissan
2012,toyota_prius,2,4,gas,129843,automatic,hatchback,unknown,0,toyota
2015,ford_explorer,2,6,gas,83823,automatic,SUV,white,0,ford
2018,nissan_sentra,2,4,gas,34611,automatic,sedan,unknown,0,nissan
2018,jeep_wrangler,2,6,gas,27403,automatic,SUV,black,1,jeep
