,price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,brand
43703,4500,2000,ram 3500,2,8,gas,160000,manual,truck,red,0,ram
43704,7399,2007,cadillac escalade,2,8,gas,227000,automatic,SUV,black,1,cadillac
43705,21500,2002,chevrolet camaro,3,8,gas,32940,manual,convertible,black,0,chevrolet
43706,5400,2007,toyota highlander,3,4,gas,184369,automatic,SUV,yellow,0,toyota
43707,4200,2007,chevrolet trailblazer,2,6,gas,185200,automatic,SUV,silver,0,chevrolet
43708,3900,2004,honda cr-v,2,4,gas,175000,automatic,SUV,silver,1,honda
43709,24495,2016,toyota 4runner,2,6,gas,117494,automatic,SUV,black,1,toyota
43710,8500,2011,chevrolet tahoe,3,8,gas,242000,automatic,SUV,unknown,1,chevrolet
43711,6999,2013,ford f-150,2,4,gas,149318,automatic,truck,white,0,ford
43712,6680,2013,kia soul,2,4,gas,115935,automatic,wagon,green,0,kia
43713,23995,2012,jeep wrangler unlimited,2,6,gas,116510,automatic,SUV,white,1,jeep
43714,2000,2003,subaru forester,2,4,gas,182095,automatic,SUV,grey,1,subaru
43715,10499,2009,chevrolet suburban,2,8,gas,142000,automatic,SUV,white,0,chevrolet
43716,25600,2017,ford mustang gt coupe 2d,2,8,gas,35068,other,coupe,black,0,ford
43717,5999,2011,hyundai santa fe,2,6,gas,130000,automatic,SUV,unknown,1,hyundai
43718,20000,2006,gmc sierra 2500hd,3,8,diesel,180000,automatic,truck,white,1,gmc
43719,3900,2003,chevrolet tahoe,2,8,gas,162112,automatic,SUV,brown,1,chevrolet
43720,16900,2014,jeep wrangler,3,6,gas,90000,manual,SUV,orange,1,jeep
43721,15900,2004,ford f-350 sd,3,8,diesel,152000,automatic,truck,brown,1,ford
43722,5600,2009,toyota prius,2,4,hybrid,225000,automatic,sedan,unknown,0,toyota
43723,16991,2017,honda civic,3,4,other,33248,automatic,hatchback,white,0,honda
43724,23250,2018,nissan frontier,3,6,gas,12435,automatic,pickup,red,1,nissan
43725,23586,2019,ford edge,4,6,gas,12606,automatic,SUV,unknown,1,ford
43726,6490,2009,ford f-150,3,8,gas,153500,automatic,truck,white,0,ford
43727,22999,2008,ford f250,3,8,diesel,101400,automatic,truck,black,1,ford
43728,4555,2011,chevrolet traverse,2,6,gas,130271,automatic,SUV,silver,0,chevrolet
43729,7900,1998,ram 2500,2,6,diesel,174200,automatic,pickup,green,0,ram
43730,10300,2010,toyota sienna,2,6,gas,131000,automatic,mini-van,blue,0,toyota
43731,7995,2009,nissan murano,3,6,gas,136690,automatic,SUV,black,1,nissan
43732,7995,2011,subaru impreza,3,4,gas,107077,manual,sedan,silver,1,subaru
43733,14500,2017,chevrolet equinox,4,4,gas,28000,automatic,SUV,silver,0,chevrolet
43734,24900,2013,ram 3500,2,6,diesel,191820,automatic,truck,black,1,ram
43736,6500,2006,gmc sierra 1500,3,8,gas,209000,automatic,truck,blue,1,gmc
43737,24950,2011,chevrolet corvette,4,8,gas,15275,automatic,coupe,grey,0,chevrolet
43738,21900,2016,nissan frontier crew cab sv,2,6,gas,4998,other,pickup,white,0,nissan
43739,3950,2009,ford fusion,2,4,gas,131381,automatic,sedan,blue,0,ford
43740,16500,2011,jeep wrangler unlimited,2,6,gas,137668,automatic,SUV,black,1,jeep
43741,6495,1997,ford f-250,2,8,diesel,314000,automatic,pickup,green,1,ford
43742,25200,2015,chevrolet silverado 1500 crew,2,8,gas,94954,automatic,pickup,unknown,1,chevrolet
43743,7300,2014,nissan altima,3,4,gas,88650,automatic,sedan,unknown,0,nissan
43745,8000,2006,gmc sierra 2500hd,3,8,diesel,317000,automatic,truck,unknown,0,gmc
43746,25000,2016,honda odyssey,4,6,gas,35200,automatic,mini-van,grey,0,honda
43747,14900,2015,ford f-150,3,8,gas,81500,automatic,truck,white,0,ford
43748,5300,2005,ford explorer,2,6,gas,82000,automatic,SUV,black,1,ford
43749,4500,2005,ford f-150,3,8,gas,217066,automatic,truck,unknown,1,ford
43751,5600,2009,gmc acadia,2,6,gas,120000,automatic,SUV,purple,1,gmc
43752,4995,2002,ford expedition,3,8,gas,162000,automatic,SUV,silver,1,ford
43753,11000,2005,ram 2500,2,6,diesel,252000,manual,truck,red,1,ram
43754,19800,2016,jeep cherokee,4,4,gas,33200,automatic,SUV,grey,1,jeep
43755,21999,2015,jeep cherokee,3,6,gas,45728,automatic,SUV,grey,1,jeep
43756,24995,2019,toyota 4runner,2,6,gas,20168,automatic,SUV,black,1,toyota
43757,3800,2006,bmw x5,2,6,gas,145699,automatic,SUV,unknown,1,bmw
43758,18995,2016,chevrolet colorado,4,4,gas,49346,automatic,pickup,unknown,1,chevrolet
43759,7500,2008,ford f-250 super duty,3,8,gas,148280,automatic,truck,white,0,ford
43760,17500,2008,toyota tacoma,2,6,gas,147398,automatic,truck,grey,0,toyota
43761,10451,2009,chevrolet impala,4,6,gas,144516,automatic,sedan,silver,0,chevrolet
43762,14700,2016,honda civic,3,4,gas,31812,manual,coupe,white,0,honda
43763,7500,2014,chevrolet cruze,3,4,gas,26000,automatic,sedan,white,0,chevrolet
43764,10500,1997,ram 2500,2,6,diesel,204731,manual,pickup,white,1,ram
43765,7499,2008,ford f-150,2,6,gas,78000,automatic,truck,red,0,ford
43766,12900,1990,chevrolet silverado,3,8,gas,89500,automatic,truck,red,1,chevrolet
43767,9500,2007,chevrolet suburban,3,8,gas,124347,automatic,SUV,unknown,0,chevrolet
43768,4000,2010,toyota camry,2,4,gas,200000,automatic,sedan,silver,0,toyota
43769,5250,2004,honda accord,4,6,gas,139000,automatic,sedan,silver,0,honda
43770,3850,2009,subaru impreza,2,4,gas,107959,automatic,sedan,red,1,subaru
43771,4600,2015,nissan altima,3,4,gas,78327,automatic,sedan,unknown,0,nissan
43772,6000,2015,ford fusion se,3,4,gas,139000,automatic,sedan,grey,0,ford
43773,6500,2012,honda civic,3,4,gas,106674,automatic,sedan,blue,0,honda
43774,6950,2011,ford expedition,3,8,gas,175000,automatic,SUV,silver,1,ford
43775,1800,2002,jeep grand cherokee laredo,2,8,gas,137000,automatic,SUV,grey,1,jeep
43776,29900,1968,chevrolet camaro,4,8,gas,22724,automatic,coupe,green,0,chevrolet
43777,6900,2012,ford fusion,2,6,gas,97945,automatic,sedan,silver,1,ford
43778,14995,2009,cadillac escalade,2,8,gas,161162,automatic,SUV,black,0,cadillac
43779,2100,1999,chevrolet silverado 1500,1,8,gas,184100,automatic,pickup,unknown,1,chevrolet
43780,7500,2012,kia sorento,3,4,gas,106674,automatic,SUV,silver,0,kia
43781,17995,2010,jeep wrangler,3,6,gas,43816,automatic,SUV,silver,1,jeep
43782,33600,2018,chevrolet silverado 1500 crew,2,8,gas,6606,automatic,pickup,white,1,chevrolet
43783,20800,2016,nissan frontier crew cab sv,2,6,gas,16775,other,pickup,red,0,nissan
43784,28900,2016,ford f150 supercrew cab xlt,2,6,gas,30761,other,pickup,red,1,ford
43785,3800,2007,chevrolet impala,2,6,gas,120544,automatic,sedan,silver,0,chevrolet
43786,5999,2011,hyundai santa fe,2,6,gas,130000,automatic,SUV,black,1,hyundai
43787,33800,2018,chevrolet silverado,4,8,gas,22700,automatic,truck,white,1,chevrolet
43788,25800,2017,ford mustang gt coupe 2d,2,8,gas,31858,automatic,coupe,silver,0,ford
43789,7995,2013,ford taurus,3,6,gas,100586,automatic,sedan,silver,1,ford
43790,9500,2003,ford f350,2,10,gas,185496,automatic,truck,green,0,ford
43791,21800,2008,ram 2500,2,6,diesel,139278,manual,truck,unknown,1,ram
43792,2500,2001,ford escape,2,6,gas,158000,automatic,SUV,brown,1,ford
43793,13500,2012,ford mustang,3,6,gas,22500,automatic,convertible,black,0,ford
43794,13995,2009,toyota tacoma,3,6,gas,152657,automatic,pickup,black,0,toyota
43795,15995,2016,chevrolet camaro,3,4,gas,55449,automatic,coupe,black,0,chevrolet
43796,7995,2013,chrysler 300,3,6,gas,160495,automatic,sedan,unknown,0,chrysler
43797,14500,2012,ford explorer,3,6,gas,91407,automatic,SUV,black,1,ford
43798,6400,2014,ford focus,4,4,gas,75000,automatic,sedan,white,0,ford
43799,10995,2013,ford edge,3,6,gas,91048,automatic,SUV,black,0,ford
43800,7995,2016,chevrolet malibu,3,4,gas,123989,manual,sedan,grey,0,chevrolet
43801,26995,2015,ram 2500,3,8,gas,85200,automatic,pickup,grey,1,ram
43802,7777,2014,dodge grand caravan,3,6,gas,126350,automatic,mini-van,white,0,dodge
43803,9777,2016,dodge grand caravan,3,6,gas,93502,automatic,mini-van,white,0,dodge
43804,5995,2007,chevrolet silverado 1500,2,8,gas,217302,automatic,pickup,blue,0,chevrolet
43805,4795,2010,ford fusion se,2,4,gas,117000,automatic,sedan,blue,0,ford
43806,4995,2007,ford expedition,3,8,gas,190368,automatic,SUV,white,0,ford
43807,22900,2016,ram 1500,3,8,gas,56000,automatic,truck,white,1,ram
43808,8999,2012,ford escape,3,6,gas,85137,automatic,SUV,grey,0,ford
43809,7995,2016,ford focus se,4,4,gas,111031,automatic,sedan,grey,0,ford
43810,3500,2005,chevrolet silverado 1500,1,8,gas,235000,automatic,truck,blue,1,chevrolet
43811,15600,2006,jeep wrangler,3,6,gas,133663,automatic,offroad,white,1,jeep
43812,4950,2007,toyota camry,3,4,gas,150477,automatic,sedan,white,0,toyota
